분과,질환명,대상자수,변수종류,변수명,평균,표준편차,빈도,백분율(%)
순환기,말초혈관질환,,범주형,smk9,,,249508,33.31
순환기,말초혈관질환,,범주형,bmi_cat1,,,10594,1.41
순환기,말초혈관질환,,범주형,bmi_cat2,,,150118,20.04
순환기,말초혈관질환,,범주형,bmi_cat3,,,134415,17.95
순환기,말초혈관질환,,범주형,bmi_cat4,,,213946,28.56
순환기,말초혈관질환,,범주형,bmi_cat9,,,239936,32.03
순환기,말초혈관질환,,범주형,hyper0,,,258940,34.57
순환기,말초혈관질환,,범주형,hyper1,,,490069,65.43
순환기,말초혈관질환,,범주형,dm0,,,451803,60.32
순환기,말초혈관질환,,범주형,dm1,,,297206,39.68
순환기,말초혈관질환,,범주형,dyslip0,,,286699,38.28
순환기,말초혈관질환,,범주형,dyslip1,,,462310,61.72
순환기,말초혈관질환,,범주형,icode0,,,151294,20.2
순환기,말초혈관질환,,범주형,icode1,,,597715,79.8
순환기,병원밖심정지,23246,연속형,age,76.0281769,14.2744547,,
순환기,병원밖심정지,,범주형,age650,,,5124,22.04
순환기,병원밖심정지,,범주형,age651,,,18122,77.96
순환기,병원밖심정지,,범주형,sex1,,,12919,55.58
순환기,병원밖심정지,,범주형,sex2,,,10327,44.42
순환기,병원밖심정지,,범주형,income0,,,3077,13.24
순환기,병원밖심정지,,범주형,income1,,,4872,20.96
순환기,병원밖심정지,,범주형,income2,,,6371,27.41
순환기,병원밖심정지,,범주형,income3,,,8521,36.66
순환기,병원밖심정지,,범주형,income9,,,405,1.74
순환기,병원밖심정지,,범주형,smk1,,,5182,22.29
순환기,병원밖심정지,,범주형,smk2,,,1699,7.31
순환기,병원밖심정지,,범주형,smk3,,,2345,10.09
순환기,병원밖심정지,,범주형,smk9,,,14020,60.31
순환기,병원밖심정지,,범주형,bmi_cat1,,,824,3.54
순환기,병원밖심정지,,범주형,bmi_cat2,,,3680,15.83
순환기,병원밖심정지,,범주형,bmi_cat3,,,2014,8.66
순환기,병원밖심정지,,범주형,bmi_cat4,,,2719,11.7
순환기,병원밖심정지,,범주형,bmi_cat9,,,14009,60.26
순환기,병원밖심정지,,범주형,MI0,,,21924,94.31
순환기,병원밖심정지,,범주형,MI1,,,1322,5.69
순환기,병원밖심정지,,범주형,ventfib0,,,20886,89.85
순환기,병원밖심정지,,범주형,ventfib1,,,2360,10.15
순환기,병원밖심정지,,범주형,cereb0,,,19691,84.71
순환기,병원밖심정지,,범주형,cereb1,,,3555,15.29
순환기,병원밖심정지,,범주형,hfail0,,,18742,80.62
순환기,병원밖심정지,,범주형,hfail1,,,4504,19.38
순환기,병원밖심정지,,범주형,ische0,,,20941,90.08
순환기,병원밖심정지,,범주형,ische1,,,2305,9.92
순환기,병원밖심정지,,범주형,periph0,,,22293,95.9
순환기,병원밖심정지,,범주형,periph1,,,953,4.1
호흡기,특발성폐섬유화증,10687,연속형,age,71.3065407,10.0031802,,
호흡기,특발성폐섬유화증,,범주형,age650,,,2461,23.03
호흡기,특발성폐섬유화증,,범주형,age651,,,8226,76.97
호흡기,특발성폐섬유화증,,범주형,sex1,,,7657,71.65
호흡기,특발성폐섬유화증,,범주형,sex2,,,3030,28.35
호흡기,특발성폐섬유화증,,범주형,income0,,,754,7.06
호흡기,특발성폐섬유화증,,범주형,income1,,,1948,18.23
호흡기,특발성폐섬유화증,,범주형,income2,,,3130,29.29
호흡기,특발성폐섬유화증,,범주형,income3,,,4638,43.4
호흡기,특발성폐섬유화증,,범주형,income9,,,217,2.03
호흡기,특발성폐섬유화증,,범주형,smk1,,,3810,35.65
호흡기,특발성폐섬유화증,,범주형,smk2,,,2393,22.39
호흡기,특발성폐섬유화증,,범주형,smk3,,,1655,15.49
호흡기,특발성폐섬유화증,,범주형,smk9,,,2829,26.47
호흡기,특발성폐섬유화증,,범주형,CCI<2,,,2809,26.28
호흡기,특발성폐섬유화증,,범주형,CCI>=2,,,7878,73.72
호흡기,특발성폐섬유화증,,범주형,hyper0,,,5964,55.81
호흡기,특발성폐섬유화증,,범주형,hyper1,,,4723,44.19
호흡기,특발성폐섬유화증,,범주형,HF0,,,9249,86.54
호흡기,특발성폐섬유화증,,범주형,HF1,,,1438,13.46
호흡기,특발성폐섬유화증,,범주형,angina0,,,8668,81.11
호흡기,특발성폐섬유화증,,범주형,angina1,,,2019,18.89
호흡기,특발성폐섬유화증,,범주형,MI0,,,10281,96.2
호흡기,특발성폐섬유화증,,범주형,MI1,,,406,3.8
호흡기,특발성폐섬유화증,,범주형,GERD0,,,10570,98.91
호흡기,특발성폐섬유화증,,범주형,GERD1,,,117,1.09
호흡기,결핵,201252,연속형,age,63.1789249,14.8741605,,
호흡기,결핵,,범주형,age650,,,104572,51.96
호흡기,결핵,,범주형,age651,,,96680,48.04
호흡기,결핵,,범주형,sex1,,,119260,59.26
호흡기,결핵,,범주형,sex2,,,81992,40.74
호흡기,결핵,,범주형,income0,,,19289,9.58
호흡기,결핵,,범주형,income1,,,42109,20.92
호흡기,결핵,,범주형,income2,,,62193,30.9
호흡기,결핵,,범주형,income3,,,74122,36.83
호흡기,결핵,,범주형,income9,,,3539,1.76
호흡기,결핵,,범주형,smk1,,,66762,33.17
호흡기,결핵,,범주형,smk2,,,18235,9.06
호흡기,결핵,,범주형,smk3,,,26338,13.09
호흡기,결핵,,범주형,smk9,,,89917,44.68
호흡기,결핵,,범주형,CCI<2,,,94968,47.19
호흡기,결핵,,범주형,CCI>=2,,,106284,52.81
호흡기,결핵,,범주형,hyper0,,,142568,70.84
호흡기,결핵,,범주형,hyper1,,,58684,29.16
호흡기,결핵,,범주형,CHF0,,,187875,93.35
호흡기,결핵,,범주형,CHF1,,,13377,6.65
호흡기,결핵,,범주형,angina0,,,182381,90.62
호흡기,결핵,,범주형,angina1,,,18871,9.38
호흡기,결핵,,범주형,MI0,,,197908,98.34
호흡기,결핵,,범주형,MI1,,,3344,1.66
호흡기,결핵,,범주형,HIV0,,,201008,99.88
호흡기,결핵,,범주형,HIV1,,,244,0.12
호흡기,결핵,,범주형,dm0,,,149613,74.34
호흡기,결핵,,범주형,dm1,,,51639,25.66
호흡기,만성폐쇄성폐질환,187635,연속형,age,70.1674954,11.4442095,,
호흡기,만성폐쇄성폐질환,,범주형,age650,,,54264,28.92
호흡기,만성폐쇄성폐질환,,범주형,age651,,,133371,71.08
호흡기,만성폐쇄성폐질환,,범주형,sex1,,,107031,57.04
호흡기,만성폐쇄성폐질환,,범주형,sex2,,,80604,42.96
호흡기,만성폐쇄성폐질환,,범주형,income0,,,27632,14.73
호흡기,만성폐쇄성폐질환,,범주형,income1,,,34816,18.56
호흡기,만성폐쇄성폐질환,,범주형,income2,,,52902,28.19
호흡기,만성폐쇄성폐질환,,범주형,income3,,,68716,36.62
호흡기,만성폐쇄성폐질환,,범주형,income9,,,3569,1.9
호흡기,만성폐쇄성폐질환,,범주형,smk1,,,3810,35.65
호흡기,만성폐쇄성폐질환,,범주형,smk2,,,2393,22.39
호흡기,만성폐쇄성폐질환,,범주형,smk3,,,1655,15.49
호흡기,만성폐쇄성폐질환,,범주형,smk9,,,98442,52.47
호흡기,만성폐쇄성폐질환,,범주형,CCI<2,,,85731,45.69
호흡기,만성폐쇄성폐질환,,범주형,CCI>=2,,,101904,54.31
호흡기,만성폐쇄성폐질환,,범주형,hyper0,,,119129,63.49
호흡기,만성폐쇄성폐질환,,범주형,hyper1,,,68506,36.51
호흡기,만성폐쇄성폐질환,,범주형,CHF0,,,171517,91.41
호흡기,만성폐쇄성폐질환,,범주형,CHF1,,,16118,8.59
호흡기,만성폐쇄성폐질환,,범주형,angina0,,,165336,88.12
호흡기,만성폐쇄성폐질환,,범주형,angina1,,,22299,11.88
호흡기,만성폐쇄성폐질환,,범주형,MI0,,,184147,98.14
호흡기,만성폐쇄성폐질환,,범주형,MI1,,,3488,1.86
호흡기,만성폐쇄성폐질환,,범주형,TB0,,,165820,88.37
호흡기,만성폐쇄성폐질환,,범주형,TB1,,,21815,11.63
호흡기,만성폐쇄성폐질환,,범주형,Asthma0,,,119263,63.56
호흡기,만성폐쇄성폐질환,,범주형,Asthma1,,,68372,36.44
호흡기,천식,381217,연속형,age,63.9555319,13.5882406,,
호흡기,천식,,범주형,age650,,,190547,49.98
호흡기,천식,,범주형,age651,,,190670,50.02
호흡기,천식,,범주형,sex1,,,147654,38.73
호흡기,천식,,범주형,sex2,,,233563,61.27
호흡기,천식,,범주형,income0,,,33703,8.84
호흡기,천식,,범주형,income1,,,76973,20.19
호흡기,천식,,범주형,income2,,,115039,30.18
호흡기,천식,,범주형,income3,,,148196,38.87
호흡기,천식,,범주형,income9,,,7306,1.92
호흡기,천식,,범주형,smk1,,,3810,35.65
호흡기,천식,,범주형,smk2,,,2393,22.39
호흡기,천식,,범주형,smk3,,,1655,15.49
호흡기,천식,,범주형,smk9,,,126319,33.13
호흡기,천식,,범주형,CCI<2,,,159726,41.9
호흡기,천식,,범주형,CCI>=2,,,221491,58.1
호흡기,천식,,범주형,hyper0,,,251697,66.02
호흡기,천식,,범주형,hyper1,,,129520,33.98
호흡기,천식,,범주형,CHF0,,,352934,92.58
호흡기,천식,,범주형,CHF1,,,28283,7.42
호흡기,천식,,범주형,angina0,,,340522,89.32
호흡기,천식,,범주형,angina1,,,40695,10.68
호흡기,천식,,범주형,MI0,,,375427,98.48
호흡기,천식,,범주형,MI1,,,5790,1.52
호흡기,기관지확장증,369778,연속형,age,64.6386237,12.7958077,,
호흡기,기관지확장증,,범주형,age650,,,180264,48.75
호흡기,기관지확장증,,범주형,age651,,,189514,51.25
호흡기,기관지확장증,,범주형,sex1,,,174976,47.32
호흡기,기관지확장증,,범주형,sex2,,,194802,52.68
호흡기,기관지확장증,,범주형,income0,,,28204,7.63
호흡기,기관지확장증,,범주형,income1,,,72257,19.54
호흡기,기관지확장증,,범주형,income2,,,110272,29.82
호흡기,기관지확장증,,범주형,income3,,,152165,41.15
호흡기,기관지확장증,,범주형,income9,,,6880,1.86
호흡기,기관지확장증,,범주형,smk1,,,3810,35.65
호흡기,기관지확장증,,범주형,smk2,,,2393,22.39
호흡기,기관지확장증,,범주형,smk3,,,1655,15.49
호흡기,기관지확장증,,범주형,smk9,,,124358,33.63
호흡기,기관지확장증,,범주형,CCI<2,,,173402,46.89
호흡기,기관지확장증,,범주형,CCI>=2,,,196376,53.11
호흡기,기관지확장증,,범주형,hyper0,,,253272,68.49
호흡기,기관지확장증,,범주형,hyper1,,,116506,31.51
호흡기,기관지확장증,,범주형,CHF0,,,345094,93.32
호흡기,기관지확장증,,범주형,CHF1,,,24684,6.68
호흡기,기관지확장증,,범주형,angina0,,,329136,89.01
호흡기,기관지확장증,,범주형,angina1,,,40642,10.99
호흡기,기관지확장증,,범주형,MI0,,,364010,98.44
호흡기,기관지확장증,,범주형,MI1,,,5768,1.56
호흡기,기관지확장증,,범주형,GERD0,,,368255,99.59
호흡기,기관지확장증,,범주형,GERD1,,,1523,0.41
호흡기,기관지확장증,,범주형,TB0,,,322454,87.2
호흡기,기관지확장증,,범주형,TB1,,,47324,12.8
호흡기,기관지확장증,,범주형,Pneumo0,,,325976,88.15
호흡기,기관지확장증,,범주형,Pneumo1,,,43802,11.85
호흡기,기관지확장증,,범주형,COPD0,,,365212,98.77
호흡기,기관지확장증,,범주형,COPD1,,,4566,1.23
호흡기,비결핵성항상균감염,12667,연속형,age,68.9149759,10.8857648,,
호흡기,비결핵성항상균감염,,범주형,age650,,,4649,36.7
호흡기,비결핵성항상균감염,,범주형,age651,,,8018,63.3
호흡기,비결핵성항상균감염,,범주형,sex1,,,4922,38.86
호흡기,비결핵성항상균감염,,범주형,sex2,,,7745,61.14
호흡기,비결핵성항상균감염,,범주형,income0,,,644,5.08
호흡기,비결핵성항상균감염,,범주형,income1,,,2359,18.62
호흡기,비결핵성항상균감염,,범주형,income2,,,3339,26.36
호흡기,비결핵성항상균감염,,범주형,income3,,,6151,48.56
호흡기,비결핵성항상균감염,,범주형,income9,,,174,1.37
호흡기,비결핵성항상균감염,,범주형,smk1,,,7790,61.5
호흡기,비결핵성항상균감염,,범주형,smk2,,,1794,14.16
호흡기,비결핵성항상균감염,,범주형,smk3,,,515,4.07
호흡기,비결핵성항상균감염,,범주형,smk9,,,2568,20.27
호흡기,비결핵성항상균감염,,범주형,CCI<2,,,4213,33.26
호흡기,비결핵성항상균감염,,범주형,CCI>=2,,,8454,66.74
호흡기,비결핵성항상균감염,,범주형,hyper0,,,9109,71.91
호흡기,비결핵성항상균감염,,범주형,hyper1,,,3558,28.09
호흡기,비결핵성항상균감염,,범주형,CHF0,,,11623,91.76
호흡기,비결핵성항상균감염,,범주형,CHF1,,,1044,8.24
호흡기,비결핵성항상균감염,,범주형,angina0,,,11289,89.12
호흡기,비결핵성항상균감염,,범주형,angina1,,,1378,10.88
호흡기,비결핵성항상균감염,,범주형,MI0,,,12464,98.4
호흡기,비결핵성항상균감염,,범주형,MI1,,,203,1.6
호흡기,비결핵성항상균감염,,범주형,GERD0,,,12524,98.87
호흡기,비결핵성항상균감염,,범주형,GERD1,,,143,1.13
호흡기,비결핵성항상균감염,,범주형,BE0,,,7686,60.68
호흡기,비결핵성항상균감염,,범주형,BE1,,,4981,39.32
호흡기,비결핵성항상균감염,,범주형,COPD0,,,12352,97.51
호흡기,비결핵성항상균감염,,범주형,COPD1,,,315,2.49
호흡기,알레르기 질환,2614596,연속형,age,54.777218,13.6055095,,
호흡기,알레르기 질환,,범주형,age650,,,1935858,74.04
호흡기,알레르기 질환,,범주형,age651,,,678738,25.96
호흡기,알레르기 질환,,범주형,sex1,,,1112140,42.54
호흡기,알레르기 질환,,범주형,sex2,,,1502456,57.46
호흡기,알레르기 질환,,범주형,income0,,,134482,5.14
호흡기,알레르기 질환,,범주형,income1,,,526105,20.12
호흡기,알레르기 질환,,범주형,income2,,,867840,33.19
호흡기,알레르기 질환,,범주형,income3,,,1037749,39.69
호흡기,알레르기 질환,,범주형,income9,,,48420,1.85
호흡기,알레르기 질환,,범주형,smk1,,,997620,38.16
호흡기,알레르기 질환,,범주형,smk2,,,210816,8.06
호흡기,알레르기 질환,,범주형,smk3,,,263049,10.06
호흡기,알레르기 질환,,범주형,smk9,,,1143111,43.72
호흡기,알레르기 질환,,범주형,CCI<2,,,1824666,69.79
호흡기,알레르기 질환,,범주형,CCI>=2,,,789930,30.21
호흡기,알레르기 질환,,범주형,hyper0,,,2131548,81.52
호흡기,알레르기 질환,,범주형,hyper1,,,483048,18.48
호흡기,알레르기 질환,,범주형,CHF0,,,2542228,97.23
호흡기,알레르기 질환,,범주형,CHF1,,,72368,2.77
호흡기,알레르기 질환,,범주형,angina0,,,2474232,94.63
호흡기,알레르기 질환,,범주형,angina1,,,140364,5.37
호흡기,알레르기 질환,,범주형,MI0,,,2593770,99.2
호흡기,알레르기 질환,,범주형,MI1,,,20826,0.8
호흡기,간질성폐질환,84684,연속형,age,67.9265623,12.5634933,,
호흡기,간질성폐질환,,범주형,age650,,,31342,37.01
호흡기,간질성폐질환,,범주형,age651,,,53342,62.99
호흡기,간질성폐질환,,범주형,sex1,,,49959,58.99
호흡기,간질성폐질환,,범주형,sex2,,,34725,41.01
호흡기,간질성폐질환,,범주형,income0,,,6297,7.44
호흡기,간질성폐질환,,범주형,income1,,,16100,19.01
호흡기,간질성폐질환,,범주형,income2,,,24602,29.05
호흡기,간질성폐질환,,범주형,income3,,,36190,42.74
호흡기,간질성폐질환,,범주형,income9,,,1495,1.77
호흡기,간질성폐질환,,범주형,smk1,,,33547,39.61
호흡기,간질성폐질환,,범주형,smk2,,,12886,15.22
호흡기,간질성폐질환,,범주형,smk3,,,12973,15.32
호흡기,간질성폐질환,,범주형,smk9,,,25278,29.85
호흡기,간질성폐질환,,범주형,bmi_cat1,,,2395,2.83
호흡기,간질성폐질환,,범주형,bmi_cat2,,,21596,25.5
호흡기,간질성폐질환,,범주형,bmi_cat3,,,15589,18.41
호흡기,간질성폐질환,,범주형,bmi_cat4,,,20441,24.14
호흡기,간질성폐질환,,범주형,bmi_cat9,,,24663,29.12
호흡기,간질성폐질환,,범주형,hyper0,,,51862,61.24
호흡기,간질성폐질환,,범주형,hyper1,,,32822,38.76
호흡기,간질성폐질환,,범주형,DM0,,,60145,71.02
호흡기,간질성폐질환,,범주형,DM1,,,24539,28.98
호흡기,간질성폐질환,,범주형,CTD0,,,65021,76.78
호흡기,간질성폐질환,,범주형,CTD1,,,19663,23.22
정신질환,우울증,1637830,연속형,age,60.9260802,13.9564423,,
정신질환,우울증,,범주형,age650,,,981280,59.91
정신질환,우울증,,범주형,age651,,,656550,40.09
정신질환,우울증,,범주형,sex1,,,605040,36.94
정신질환,우울증,,범주형,sex2,,,1032790,63.06
정신질환,우울증,,범주형,income0,,,133169,8.13
정신질환,우울증,,범주형,income1,,,329734,20.13
정신질환,우울증,,범주형,income2,,,489146,29.87
정신질환,우울증,,범주형,income3,,,655350,40.01
정신질환,우울증,,범주형,income9,,,30431,1.86
정신질환,우울증,,범주형,fcode0,,,1051102,64.18
정신질환,우울증,,범주형,fcode1,,,586728,35.82
정신질환,공황발작,308986,연속형,age,59.6887399,13.0340696,,
정신질환,공황발작,,범주형,age650,,,200733,64.97
정신질환,공황발작,,범주형,age651,,,108253,35.03
정신질환,공황발작,,범주형,sex1,,,121348,39.27
정신질환,공황발작,,범주형,sex2,,,187638,60.73
정신질환,공황발작,,범주형,income0,,,23706,7.67
정신질환,공황발작,,범주형,income1,,,61624,19.94
정신질환,공황발작,,범주형,income2,,,88829,28.75
정신질환,공황발작,,범주형,income3,,,129614,41.95
정신질환,공황발작,,범주형,income9,,,5213,1.69
정신질환,공황발작,,범주형,fcode0,,,131654,42.61
정신질환,공황발작,,범주형,fcode1,,,177332,57.39
정신질환,양극성장애,227798,연속형,age,66.3076322,16.2667105,,
정신질환,양극성장애,,범주형,age650,,,106531,46.77
정신질환,양극성장애,,범주형,age651,,,121267,53.23
정신질환,양극성장애,,범주형,sex1,,,94513,41.49
정신질환,양극성장애,,범주형,sex2,,,133285,58.51
정신질환,양극성장애,,범주형,income0,,,35245,15.47
정신질환,양극성장애,,범주형,income1,,,45606,20.02
정신질환,양극성장애,,범주형,income2,,,59504,26.12
정신질환,양극성장애,,범주형,income3,,,83718,36.75
정신질환,양극성장애,,범주형,income9,,,3725,1.64
정신질환,양극성장애,,범주형,fcode0,,,50792,22.3
정신질환,양극성장애,,범주형,fcode1,,,177006,77.7
정신질환,자살,55506,연속형,age,60.8742298,14.7514696,,
정신질환,자살,,범주형,age650,,,33676,60.67
정신질환,자살,,범주형,age651,,,21830,39.33
정신질환,자살,,범주형,sex1,,,38969,70.21
정신질환,자살,,범주형,sex2,,,16537,29.79
정신질환,자살,,범주형,income0,,,5190,9.35
정신질환,자살,,범주형,income1,,,13441,24.22
정신질환,자살,,범주형,income2,,,18294,32.96
정신질환,자살,,범주형,income3,,,17647,31.79
정신질환,자살,,범주형,income9,,,934,1.68
정신질환,자살,,범주형,fcode0,,,32429,58.42
정신질환,자살,,범주형,fcode1,,,23077,41.58
