분과,질환,subgroup,OddsRatioEst,LowerCL,UpperCL,air,p-value
순환기,심방세동,dm0,1.003,0.999,1.006,pm10,
순환기,심방세동,dm1,1.005,1.001,1.01,pm10,
순환기,심방세동,dyslip0,1.003,0.999,1.007,pm10,
순환기,심방세동,dyslip1,1.004,1,1.008,pm10,0.0306
순환기,심방세동,hyper0,1.006,1,1.011,pm10,0.0332
순환기,심방세동,hyper1,1.003,1,1.006,pm10,0.0815
순환기,심방세동,medicaid0,1.004,1.001,1.006,pm10,
순환기,심방세동,medicaid1,1.005,0.996,1.014,pm10,
순환기,심방세동,sex_type0,1.002,0.998,1.006,pm10,
순환기,심방세동,sex_type1,1.006,1.002,1.01,pm10,
순환기,심방세동,smk11,1.004,0.999,1.009,pm10,
순환기,심방세동,smk12,1.007,1,1.014,pm10,0.0356
순환기,심방세동,smk19,1.002,0.998,1.006,pm10,
순환기,심방세동,age650,1.016,1.005,1.027,pm25,
순환기,심방세동,age651,1.005,0.999,1.011,pm25,
순환기,심방세동,bmi_cat11,1.003,0.991,1.015,pm25,
순환기,심방세동,bmi_cat12,1.011,1.002,1.02,pm25,
순환기,심방세동,bmi_cat19,1.008,1,1.015,pm25,0.0523
순환기,심방세동,dm0,1.005,0.998,1.012,pm25,
순환기,심방세동,dm1,1.012,1.004,1.021,pm25,
순환기,심방세동,dyslip0,1.007,1,1.015,pm25,0.0622
순환기,심방세동,dyslip1,1.008,1.001,1.016,pm25,
순환기,심방세동,hyper0,1.007,0.996,1.017,pm25,
순환기,심방세동,hyper1,1.008,1.002,1.014,pm25,
순환기,심방세동,medicaid0,1.007,1.001,1.012,pm25,
순환기,심방세동,medicaid1,1.017,1,1.035,pm25,0.0555
순환기,심방세동,sex_type0,1.007,1,1.014,pm25,0.0614
순환기,심방세동,sex_type1,1.009,1.001,1.016,pm25,
순환기,심방세동,smk11,1.007,0.998,1.016,pm25,
순환기,심방세동,smk12,1.01,0.998,1.023,pm25,
순환기,심방세동,smk19,1.007,1,1.015,pm25,0.0624
순환기,뇌혈관질환,age650,0.999,0.996,1.002,pm10,
순환기,뇌혈관질환,age651,1.003,1.002,1.005,pm10,
순환기,뇌혈관질환,bmi_cat11,1.002,0.999,1.005,pm10,
순환기,뇌혈관질환,bmi_cat12,1.001,0.998,1.004,pm10,
순환기,뇌혈관질환,bmi_cat19,1.003,1.001,1.005,pm10,
순환기,뇌혈관질환,dm0,1.002,1,1.004,pm10,0.0289
순환기,뇌혈관질환,dm1,1.003,1.001,1.005,pm10,
순환기,뇌혈관질환,dyslip0,1.002,1,1.003,pm10,0.0556
순환기,뇌혈관질환,dyslip1,1.003,1.001,1.005,pm10,
순환기,뇌혈관질환,hyper0,1.002,0.999,1.004,pm10,
순환기,뇌혈관질환,hyper1,1.002,1.001,1.004,pm10,
순환기,뇌혈관질환,medicaid0,1.002,1.001,1.004,pm10,
순환기,뇌혈관질환,medicaid1,1.003,1,1.007,pm10,0.0728
순환기,뇌혈관질환,sex_type0,1.001,1,1.003,pm10,0.1297
순환기,뇌혈관질환,sex_type1,1.003,1.001,1.005,pm10,
순환기,뇌혈관질환,smk11,1.002,1,1.005,pm10,0.0587
순환기,뇌혈관질환,smk12,1,0.997,1.004,pm10,
순환기,뇌혈관질환,smk19,1.003,1.001,1.004,pm10,
순환기,뇌혈관질환,age650,0.999,0.994,1.004,pm25,
순환기,뇌혈관질환,age651,1.007,1.005,1.01,pm25,
순환기,뇌혈관질환,bmi_cat11,1.004,0.999,1.01,pm25,
순환기,뇌혈관질환,bmi_cat12,1.003,0.998,1.008,pm25,
순환기,뇌혈관질환,bmi_cat19,1.007,1.004,1.011,pm25,
순환기,뇌혈관질환,dm0,1.005,1.002,1.009,pm25,
순환기,뇌혈관질환,dm1,1.006,1.002,1.01,pm25,
순환기,뇌혈관질환,dyslip0,1.005,1.002,1.009,pm25,
순환기,뇌혈관질환,dyslip1,1.006,1.002,1.01,pm25,
순환기,뇌혈관질환,hyper0,1.007,1.002,1.011,pm25,
순환기,뇌혈관질환,hyper1,1.005,1.002,1.008,pm25,
순환기,뇌혈관질환,medicaid0,1.006,1.003,1.008,pm25,
순환기,뇌혈관질환,medicaid1,1.005,0.998,1.012,pm25,
순환기,뇌혈관질환,sex_type0,1.004,1,1.007,pm25,0.038
순환기,뇌혈관질환,sex_type1,1.007,1.004,1.011,pm25,
순환기,뇌혈관질환,smk11,1.005,1,1.01,pm25,0.0408
순환기,뇌혈관질환,smk12,1.001,0.995,1.008,pm25,
순환기,뇌혈관질환,smk19,1.007,1.004,1.01,pm25,
순환기,심부전,age650,1.004,1.001,1.008,pm10,
순환기,심부전,age651,1.005,1.003,1.006,pm10,
순환기,심부전,bmi_cat11,1.003,0.999,1.007,pm10,
순환기,심부전,bmi_cat12,1.005,1.002,1.008,pm10,
순환기,심부전,bmi_cat19,1.005,1.003,1.007,pm10,
순환기,심부전,dm0,1.005,1.003,1.007,pm10,
순환기,심부전,dm1,1.004,1.002,1.006,pm10,
순환기,심부전,dyslip0,1.005,1.003,1.007,pm10,
순환기,심부전,dyslip1,1.004,1.002,1.007,pm10,
순환기,심부전,hyper0,1.006,1.002,1.009,pm10,
순환기,심부전,hyper1,1.004,1.003,1.006,pm10,
순환기,심부전,medicaid0,1.004,1.002,1.006,pm10,
순환기,심부전,medicaid1,1.008,1.004,1.012,pm10,
순환기,심부전,sex_type0,1.005,1.003,1.008,pm10,
순환기,심부전,sex_type1,1.004,1.002,1.006,pm10,
순환기,심부전,smk11,1.003,1.001,1.006,pm10,
순환기,심부전,smk12,1.005,1.001,1.009,pm10,
순환기,심부전,smk19,1.005,1.003,1.007,pm10,
순환기,심부전,age650,1.006,1,1.013,pm25,0.0547
순환기,심부전,age651,1.01,1.007,1.013,pm25,
순환기,심부전,bmi_cat11,1.006,0.999,1.012,pm25,
순환기,심부전,bmi_cat12,1.011,1.005,1.016,pm25,
순환기,심부전,bmi_cat19,1.01,1.006,1.014,pm25,
순환기,심부전,dm0,1.009,1.006,1.013,pm25,
순환기,심부전,dm1,1.01,1.005,1.014,pm25,
순환기,심부전,dyslip0,1.01,1.006,1.014,pm25,
순환기,심부전,dyslip1,1.009,1.005,1.013,pm25,
순환기,심부전,hyper0,1.01,1.004,1.017,pm25,
순환기,심부전,hyper1,1.009,1.006,1.012,pm25,
순환기,심부전,medicaid0,1.009,1.006,1.012,pm25,
순환기,심부전,medicaid1,1.014,1.006,1.021,pm25,
순환기,심부전,sex_type0,1.013,1.009,1.017,pm25,
순환기,심부전,sex_type1,1.006,1.003,1.01,pm25,
순환기,심부전,smk11,1.008,1.003,1.013,pm25,
순환기,심부전,smk12,1.01,1.003,1.017,pm25,
순환기,심부전,smk19,1.01,1.006,1.014,pm25,
순환기,허혈성심질환,age650,1.003,1,1.005,pm10,0.0755
순환기,허혈성심질환,age651,1.004,1.002,1.006,pm10,
순환기,허혈성심질환,bmi_cat11,1.002,0.998,1.006,pm10,
순환기,허혈성심질환,bmi_cat12,1.004,1.001,1.007,pm10,
순환기,허혈성심질환,bmi_cat19,1.004,1.002,1.006,pm10,
순환기,허혈성심질환,dm0,1.004,1.002,1.006,pm10,
순환기,허혈성심질환,dm1,1.003,1.001,1.006,pm10,
순환기,허혈성심질환,dyslip0,1.004,1.002,1.006,pm10,
순환기,허혈성심질환,dyslip1,1.003,1.001,1.006,pm10,
순환기,허혈성심질환,hyper0,1.004,1.001,1.007,pm10,
순환기,허혈성심질환,hyper1,1.004,1.002,1.005,pm10,
순환기,허혈성심질환,medicaid0,1.004,1.002,1.005,pm10,
순환기,허혈성심질환,medicaid1,1.004,0.999,1.008,pm10,
순환기,허혈성심질환,sex_type0,1.005,1.002,1.007,pm10,
순환기,허혈성심질환,sex_type1,1.003,1,1.005,pm10,0.0242
순환기,허혈성심질환,smk11,1.003,0.999,1.006,pm10,
순환기,허혈성심질환,smk12,1.004,1,1.008,pm10,0.0553
순환기,허혈성심질환,smk19,1.004,1.002,1.006,pm10,
순환기,허혈성심질환,age650,1.008,1.003,1.014,pm25,
순환기,허혈성심질환,age651,1.009,1.005,1.013,pm25,
순환기,허혈성심질환,bmi_cat11,1.006,0.999,1.014,pm25,
순환기,허혈성심질환,bmi_cat12,1.008,1.002,1.014,pm25,
순환기,허혈성심질환,bmi_cat19,1.01,1.006,1.015,pm25,
순환기,허혈성심질환,dm0,1.009,1.005,1.013,pm25,
순환기,허혈성심질환,dm1,1.009,1.004,1.013,pm25,
순환기,허혈성심질환,dyslip0,1.009,1.004,1.013,pm25,
순환기,허혈성심질환,dyslip1,1.009,1.004,1.013,pm25,
순환기,허혈성심질환,hyper0,1.01,1.004,1.017,pm25,
순환기,허혈성심질환,hyper1,1.008,1.005,1.012,pm25,
순환기,허혈성심질환,medicaid0,1.009,1.005,1.012,pm25,
순환기,허혈성심질환,medicaid1,1.009,1,1.019,pm25,0.0545
순환기,허혈성심질환,sex_type0,1.012,1.008,1.016,pm25,
순환기,허혈성심질환,sex_type1,1.005,1.001,1.01,pm25,
순환기,허혈성심질환,smk11,1.009,1.002,1.015,pm25,
순환기,허혈성심질환,smk12,1.006,0.998,1.013,pm25,
순환기,허혈성심질환,smk19,1.01,1.006,1.014,pm25,
호흡기,특발성폐섬유화증,age650,0.996,0.967,1.026,pm10,
호흡기,특발성폐섬유화증,age651,1.004,0.99,1.018,pm10,
호흡기,특발성폐섬유화증,g_index0,0.996,0.97,1.024,pm10,
호흡기,특발성폐섬유화증,g_index1,1.004,0.99,1.019,pm10,
호흡기,특발성폐섬유화증,h_angina0,1.002,0.988,1.016,pm10,
호흡기,특발성폐섬유화증,h_angina1,1.007,0.98,1.035,pm10,
호흡기,특발성폐섬유화증,h_CHF0,1.003,0.989,1.016,pm10,
호흡기,특발성폐섬유화증,h_CHF1,1.003,0.97,1.036,pm10,
호흡기,특발성폐섬유화증,h_gerd0,1.003,0.99,1.015,pm10,
호흡기,특발성폐섬유화증,h_gerd1,0.989,0.882,1.11,pm10,
호흡기,특발성폐섬유화증,h_hyper0,1.007,0.99,1.024,pm10,
호흡기,특발성폐섬유화증,h_hyper1,0.997,0.979,1.016,pm10,
호흡기,특발성폐섬유화증,h_mi0,1.003,0.991,1.016,pm10,
호흡기,특발성폐섬유화증,h_mi1,0.982,0.916,1.052,pm10,
호흡기,특발성폐섬유화증,medicaid0,1.002,0.989,1.015,pm10,
호흡기,특발성폐섬유화증,medicaid1,1.011,0.961,1.063,pm10,
호흡기,특발성폐섬유화증,sex_type0,1,0.985,1.016,pm10,
호흡기,특발성폐섬유화증,sex_type1,1.008,0.985,1.031,pm10,
호흡기,특발성폐섬유화증,SMK11,1.003,0.981,1.025,pm10,
호흡기,특발성폐섬유화증,SMK12,1.003,0.982,1.024,pm10,
호흡기,특발성폐섬유화증,SMK19,1.003,0.98,1.025,pm10,
호흡기,특발성폐섬유화증,age650,0.995,0.941,1.052,pm25,
호흡기,특발성폐섬유화증,age651,1.005,0.98,1.032,pm25,
호흡기,특발성폐섬유화증,g_index0,0.992,0.943,1.043,pm25,
호흡기,특발성폐섬유화증,g_index1,1.007,0.98,1.034,pm25,
호흡기,특발성폐섬유화증,h_angina0,1.003,0.977,1.03,pm25,
호흡기,특발성폐섬유화증,h_angina1,1.005,0.954,1.059,pm25,
호흡기,특발성폐섬유화증,h_CHF0,1.001,0.976,1.026,pm25,
호흡기,특발성폐섬유화증,h_CHF1,1.021,0.957,1.089,pm25,
호흡기,특발성폐섬유화증,h_hyper0,1.003,0.972,1.035,pm25,
호흡기,특발성폐섬유화증,h_hyper1,1.003,0.969,1.039,pm25,
호흡기,특발성폐섬유화증,h_mi0,1.002,0.979,1.027,pm25,
호흡기,특발성폐섬유화증,h_mi1,1.03,0.912,1.163,pm25,
호흡기,특발성폐섬유화증,medicaid0,1,0.976,1.025,pm25,
호흡기,특발성폐섬유화증,medicaid1,1.063,0.965,1.17,pm25,
호흡기,특발성폐섬유화증,sex_type0,0.996,0.969,1.025,pm25,
호흡기,특발성폐섬유화증,sex_type1,1.021,0.978,1.066,pm25,
호흡기,특발성폐섬유화증,SMK11,0.994,0.955,1.034,pm25,
호흡기,특발성폐섬유화증,SMK12,1.002,0.964,1.041,pm25,
호흡기,특발성폐섬유화증,SMK19,1.018,0.974,1.064,pm25,
호흡기,만성폐쇄성폐질환,angina0,1.001,0.998,1.004,PM10,
호흡기,만성폐쇄성폐질환,angina1,1,0.992,1.007,PM10,
호흡기,만성폐쇄성폐질환,asthma0,1,0.997,1.004,PM10,
호흡기,만성폐쇄성폐질환,asthma1,1.001,0.997,1.005,PM10,
호흡기,만성폐쇄성폐질환,cci<2,0.996,0.991,1,PM10,
호흡기,만성폐쇄성폐질환,cci>=2,1.003,1,1.006,PM10,0.0822
호흡기,만성폐쇄성폐질환,female,0.998,0.994,1.003,PM10,
호흡기,만성폐쇄성폐질환,HF0,1.001,0.998,1.004,PM10,
호흡기,만성폐쇄성폐질환,HF1,1,0.992,1.008,PM10,
호흡기,만성폐쇄성폐질환,hyper0,0.999,0.996,1.003,PM10,
호흡기,만성폐쇄성폐질환,hyper1,1.002,0.998,1.006,PM10,
호흡기,만성폐쇄성폐질환,male,1.002,0.998,1.005,PM10,
호흡기,만성폐쇄성폐질환,medicaid,1.006,0.999,1.012,PM10,
호흡기,만성폐쇄성폐질환,mi0,1.001,0.998,1.003,PM10,
호흡기,만성폐쇄성폐질환,mi1,0.999,0.981,1.016,PM10,
호흡기,만성폐쇄성폐질환,normal,0.999,0.996,1.003,PM10,
호흡기,만성폐쇄성폐질환,over65,1.002,0.999,1.005,PM10,
호흡기,만성폐쇄성폐질환,smk_never,1.002,0.996,1.008,PM10,
호흡기,만성폐쇄성폐질환,smk_ever,1.007,1.001,1.013,PM10,
호흡기,만성폐쇄성폐질환,smk_unknown,0.998,0.994,1.001,PM10,
호흡기,만성폐쇄성폐질환,previous TB0,1.002,0.999,1.005,PM10,
호흡기,만성폐쇄성폐질환,previous TB1,0.995,0.987,1.002,PM10,
호흡기,만성폐쇄성폐질환,under65,0.996,0.99,1.002,PM10,
호흡기,만성폐쇄성폐질환,angina0,1.001,0.995,1.007,PM25,
호흡기,만성폐쇄성폐질환,angina1,1.008,0.993,1.022,PM25,
호흡기,만성폐쇄성폐질환,asthma0,1.003,0.995,1.01,PM25,
호흡기,만성폐쇄성폐질환,asthma1,1.001,0.993,1.009,PM25,
호흡기,만성폐쇄성폐질환,cci<2,0.997,0.988,1.007,PM25,
호흡기,만성폐쇄성폐질환,cci>=2,1.004,0.997,1.011,PM25,
호흡기,만성폐쇄성폐질환,female,0.997,0.988,1.006,PM25,
호흡기,만성폐쇄성폐질환,HF0,1.002,0.996,1.008,PM25,
호흡기,만성폐쇄성폐질환,HF1,0.999,0.985,1.014,PM25,
호흡기,만성폐쇄성폐질환,hyper0,1.001,0.994,1.008,PM25,
호흡기,만성폐쇄성폐질환,hyper1,1.003,0.995,1.011,PM25,
호흡기,만성폐쇄성폐질환,male,1.005,0.998,1.012,PM25,
호흡기,만성폐쇄성폐질환,medicaid,1.013,1,1.028,PM25,0.0571
호흡기,만성폐쇄성폐질환,mi0,1.002,0.997,1.008,PM25,
호흡기,만성폐쇄성폐질환,mi1,0.995,0.962,1.028,PM25,
호흡기,만성폐쇄성폐질환,normal,1,0.994,1.006,PM25,
호흡기,만성폐쇄성폐질환,over65,1.005,0.998,1.011,PM25,
호흡기,만성폐쇄성폐질환,smk_never,1.003,0.992,1.014,PM25,
호흡기,만성폐쇄성폐질환,smk_ever,1.013,1.001,1.025,PM25,
호흡기,만성폐쇄성폐질환,smk_unknown,0.997,0.99,1.004,PM25,
호흡기,만성폐쇄성폐질환,previous TB0,1.003,0.997,1.009,PM25,
호흡기,만성폐쇄성폐질환,previous TB1,0.994,0.981,1.008,PM25,
호흡기,만성폐쇄성폐질환,under65,0.992,0.981,1.004,PM25,
호흡기,천식,angina0,1.004,1,1.008,PM10,0.0512
호흡기,천식,angina1,1,0.99,1.01,PM10,
호흡기,천식,cci<2,1.005,0.998,1.012,PM10,
호흡기,천식,cci>=2,1.003,0.999,1.008,PM10,
호흡기,천식,female,1.004,0.999,1.009,PM10,
호흡기,천식,HF0,1.004,1,1.008,PM10,0.0294
호흡기,천식,HF1,1,0.99,1.01,PM10,
호흡기,천식,hyper0,1.003,0.998,1.008,PM10,
호흡기,천식,hyper1,1.005,0.999,1.01,PM10,
호흡기,천식,male,1.003,0.998,1.009,PM10,
호흡기,천식,medicaid,1.003,0.992,1.013,PM10,
호흡기,천식,mi0,1.004,1,1.007,PM10,0.0512
호흡기,천식,mi1,1.006,0.982,1.031,PM10,
호흡기,천식,normal,1.004,1,1.008,PM10,0.0512
호흡기,천식,over65,1.003,0.999,1.008,PM10,
호흡기,천식,smk_never,1.007,1.001,1.013,PM10,
호흡기,천식,smk_ever,1.008,0.999,1.017,PM10,
호흡기,천식,smk_unknown,1,0.995,1.005,PM10,
호흡기,천식,under65,1.005,0.999,1.012,PM10,
호흡기,천식,angina0,1.008,1.001,1.015,PM25,
호흡기,천식,angina1,1.004,0.986,1.023,PM25,
호흡기,천식,cci<2,1.009,0.997,1.022,PM25,
호흡기,천식,cci>=2,1.007,0.998,1.015,PM25,
호흡기,천식,female,1.006,0.997,1.015,PM25,
호흡기,천식,HF0,1.008,1.001,1.015,PM25,
호흡기,천식,HF1,1.003,0.984,1.022,PM25,
호흡기,천식,hyper0,1.007,0.998,1.016,PM25,
호흡기,천식,hyper1,1.008,0.998,1.018,PM25,
호흡기,천식,male,1.009,0.999,1.019,PM25,
호흡기,천식,medicaid,1.003,0.984,1.022,PM25,
호흡기,천식,mi0,1.007,1.001,1.014,PM25,
호흡기,천식,mi1,1.005,0.962,1.05,PM25,
호흡기,천식,normal,1.008,1.001,1.015,PM25,
호흡기,천식,over65,1.006,0.998,1.015,PM25,
호흡기,천식,smk_never,1.008,0.997,1.019,PM25,
호흡기,천식,smk_ever,1.017,1.001,1.033,PM25,
호흡기,천식,smk_unknown,1.003,0.992,1.013,PM25,
호흡기,천식,under65,1.009,0.998,1.021,PM25,
호흡기,기관지확장증,angina0,1.004,1.001,1.008,PM10,
호흡기,기관지확장증,angina1,1.003,0.994,1.011,PM10,
호흡기,기관지확장증,cci<2,1.004,0.999,1.008,PM10,
호흡기,기관지확장증,cci>=2,1.004,1,1.008,PM10,0.0324
호흡기,기관지확장증,copd0,1.004,1.001,1.007,PM10,
호흡기,기관지확장증,copd1,1.019,1.003,1.036,PM10,
호흡기,기관지확장증,female,1.005,1.001,1.009,PM10,
호흡기,기관지확장증,gerd0,1.004,1.001,1.007,PM10,
호흡기,기관지확장증,gerd1,1.028,0.991,1.066,PM10,
호흡기,기관지확장증,HF0,1.004,1,1.007,PM10,0.0276
호흡기,기관지확장증,HF1,1.01,1,1.021,PM10,0.0582
호흡기,기관지확장증,hyper0,1.003,0.999,1.007,PM10,
호흡기,기관지확장증,hyper1,1.006,1.001,1.011,PM10,
호흡기,기관지확장증,male,1.003,0.999,1.008,PM10,
호흡기,기관지확장증,medicaid,1.002,0.993,1.012,PM10,
호흡기,기관지확장증,mi0,1.004,1.001,1.007,PM10,
호흡기,기관지확장증,mi1,1.007,0.984,1.029,PM10,
호흡기,기관지확장증,normal,1.004,1.001,1.008,PM10,
호흡기,기관지확장증,over65,1.004,1,1.008,PM10,0.0356
호흡기,기관지확장증,pneumo0,1.003,1,1.007,PM10,0.0894
호흡기,기관지확장증,pneumo1,1.006,1.001,1.012,PM10,
호흡기,기관지확장증,smk_never,1.007,1.002,1.012,PM10,
호흡기,기관지확장증,smk_ever,1.008,1,1.016,PM10,0.043
호흡기,기관지확장증,smk_unknown,1.001,0.997,1.005,PM10,
호흡기,기관지확장증,previous TB0,1.004,1.001,1.008,PM10,
호흡기,기관지확장증,previous TB1,1.004,0.997,1.011,PM10,
호흡기,기관지확장증,under65,1.004,0.999,1.009,PM10,
호흡기,기관지확장증,angina0,1.006,1,1.012,PM25,0.0696
호흡기,기관지확장증,angina1,1.007,0.99,1.024,PM25,
호흡기,기관지확장증,cci<2,1.006,0.997,1.016,PM25,
호흡기,기관지확장증,cci>=2,1.006,0.998,1.013,PM25,
호흡기,기관지확장증,copd0,1.006,1,1.012,PM25,0.0595
호흡기,기관지확장증,copd1,1.011,0.978,1.045,PM25,
호흡기,기관지확장증,female,1.006,0.998,1.014,PM25,
호흡기,기관지확장증,gerd0,1.006,1,1.012,PM25,0.056
호흡기,기관지확장증,gerd1,1.032,0.959,1.111,PM25,
호흡기,기관지확장증,HF0,1.005,0.999,1.011,PM25,
호흡기,기관지확장증,HF1,1.017,0.997,1.038,PM25,
호흡기,기관지확장증,hyper0,1.006,0.999,1.014,PM25,
호흡기,기관지확장증,hyper1,1.005,0.995,1.015,PM25,
호흡기,기관지확장증,male,1.006,0.997,1.015,PM25,
호흡기,기관지확장증,medicaid,1.009,0.99,1.029,PM25,
호흡기,기관지확장증,mi0,1.006,1,1.012,PM25,0.0443
호흡기,기관지확장증,mi1,0.997,0.954,1.041,PM25,
호흡기,기관지확장증,normal,1.006,0.999,1.012,PM25,
호흡기,기관지확장증,over65,1.004,0.996,1.012,PM25,
호흡기,기관지확장증,pneumo0,1.004,0.997,1.011,PM25,
호흡기,기관지확장증,pneumo1,1.011,1,1.021,PM25,0.0458
호흡기,기관지확장증,smk_never,1.008,0.998,1.018,PM25,
호흡기,기관지확장증,smk_ever,1.017,1.003,1.032,PM25,
호흡기,기관지확장증,smk_unknown,1,0.992,1.009,PM25,
호흡기,기관지확장증,previous TB0,1.006,0.999,1.012,PM25,
호흡기,기관지확장증,previous TB1,1.007,0.992,1.021,PM25,
호흡기,기관지확장증,under65,1.009,1,1.018,PM25,0.0621
호흡기,간질성폐질환,age650,0.995,0.977,1.013,pm10,
호흡기,간질성폐질환,age651,0.998,0.987,1.009,pm10,
호흡기,간질성폐질환,g_index0,0.988,0.97,1.007,pm10,
호흡기,간질성폐질환,g_index1,1,0.99,1.011,pm10,
호흡기,간질성폐질환,h_angina0,0.998,0.988,1.008,pm10,
호흡기,간질성폐질환,h_angina1,0.993,0.971,1.016,pm10,
호흡기,간질성폐질환,h_CHF0,1.001,0.991,1.011,pm10,
호흡기,간질성폐질환,h_CHF1,0.978,0.954,1.003,pm10,
호흡기,간질성폐질환,h_hyper0,0.998,0.986,1.01,pm10,
호흡기,간질성폐질환,h_hyper1,0.996,0.982,1.011,pm10,
호흡기,간질성폐질환,h_mi0,0.998,0.988,1.007,pm10,
호흡기,간질성폐질환,h_mi1,0.979,0.928,1.032,pm10,
호흡기,간질성폐질환,medicaid0,0.997,0.987,1.006,pm10,
호흡기,간질성폐질환,medicaid1,1.002,0.972,1.032,pm10,
호흡기,간질성폐질환,sex_type0,0.989,0.977,1.001,pm10,
호흡기,간질성폐질환,sex_type1,1.008,0.994,1.022,pm10,
호흡기,간질성폐질환,SMK11,0.994,0.979,1.01,pm10,
호흡기,간질성폐질환,SMK12,1.003,0.983,1.022,pm10,
호흡기,간질성폐질환,SMK19,0.997,0.983,1.011,pm10,
호흡기,간질성폐질환,age650,1.005,0.97,1.041,pm25,
호흡기,간질성폐질환,age651,0.998,0.978,1.018,pm25,
호흡기,간질성폐질환,g_index0,0.98,0.945,1.015,pm25,
호흡기,간질성폐질환,g_index1,1.006,0.986,1.026,pm25,
호흡기,간질성폐질환,h_angina0,1.003,0.984,1.023,pm25,
호흡기,간질성폐질환,h_angina1,0.981,0.941,1.023,pm25,
호흡기,간질성폐질환,h_CHF0,1.004,0.985,1.023,pm25,
호흡기,간질성폐질환,h_CHF1,0.974,0.931,1.019,pm25,
호흡기,간질성폐질환,h_hyper0,1.002,0.979,1.026,pm25,
호흡기,간질성폐질환,h_hyper1,0.996,0.97,1.022,pm25,
호흡기,간질성폐질환,h_mi0,0.999,0.982,1.017,pm25,
호흡기,간질성폐질환,h_mi1,0.999,0.908,1.099,pm25,
호흡기,간질성폐질환,medicaid0,0.997,0.979,1.015,pm25,
호흡기,간질성폐질환,medicaid1,1.024,0.966,1.086,pm25,
호흡기,간질성폐질환,sex_type0,0.983,0.961,1.006,pm25,
호흡기,간질성폐질환,sex_type1,1.022,0.995,1.05,pm25,
호흡기,간질성폐질환,SMK11,0.999,0.97,1.028,pm25,
호흡기,간질성폐질환,SMK12,1.001,0.966,1.037,pm25,
호흡기,간질성폐질환,SMK19,0.999,0.972,1.027,pm25,
정신질환,우울증,age650,1.002,0.995,1.008,pm10,
정신질환,우울증,age651,1.005,0.996,1.013,pm10,
정신질환,우울증,bmi_cat11,0.996,0.984,1.007,pm10,
정신질환,우울증,bmi_cat12,1.01,1,1.021,pm10,0.0491
정신질환,우울증,bmi_cat19,1.002,0.995,1.009,pm10,
정신질환,우울증,fcode10,0.997,0.988,1.005,pm10,
정신질환,우울증,fcode11,1.006,1,1.012,pm10,0.0659
정신질환,우울증,medicaid0,1.004,0.998,1.009,pm10,
정신질환,우울증,medicaid1,0.995,0.979,1.011,pm10,
정신질환,우울증,sex_type0,1.003,0.994,1.011,pm10,
정신질환,우울증,sex_type1,1.003,0.996,1.009,pm10,
