분과,질환명,대상자수,변수종류,변수명,평균,표준편차,빈도,백분율(%)
순환기,말초혈관질환,,범주형,smk9,,,249508,33.31
순환기,말초혈관질환,,범주형,bmi_cat1,,,10594,1.41
순환기,말초혈관질환,,범주형,bmi_cat2,,,150118,20.04
순환기,말초혈관질환,,범주형,bmi_cat3,,,134415,17.95
순환기,말초혈관질환,,범주형,bmi_cat4,,,213946,28.56
순환기,말초혈관질환,,범주형,bmi_cat9,,,239936,32.03
순환기,말초혈관질환,,범주형,hyper0,,,258940,34.57
순환기,말초혈관질환,,범주형,hyper1,,,490069,65.43
순환기,말초혈관질환,,범주형,dm0,,,451803,60.32
순환기,말초혈관질환,,범주형,dm1,,,297206,39.68
순환기,말초혈관질환,,범주형,dyslip0,,,286699,38.28
순환기,말초혈관질환,,범주형,dyslip1,,,462310,61.72
순환기,말초혈관질환,,범주형,icode0,,,151294,20.2
순환기,말초혈관질환,,범주형,icode1,,,597715,79.8
순환기,병원밖심정지,23246,연속형,age,76.0281769,14.2744547,,
순환기,병원밖심정지,,범주형,age650,,,5124,22.04
순환기,병원밖심정지,,범주형,age651,,,18122,77.96
순환기,병원밖심정지,,범주형,sex1,,,12919,55.58
순환기,병원밖심정지,,범주형,sex2,,,10327,44.42
순환기,병원밖심정지,,범주형,income0,,,3077,13.24
순환기,병원밖심정지,,범주형,income1,,,4872,20.96
순환기,병원밖심정지,,범주형,income2,,,6371,27.41
순환기,병원밖심정지,,범주형,income3,,,8521,36.66
순환기,병원밖심정지,,범주형,income9,,,405,1.74
순환기,병원밖심정지,,범주형,smk1,,,5182,22.29
순환기,병원밖심정지,,범주형,smk2,,,1699,7.31
순환기,병원밖심정지,,범주형,smk3,,,2345,10.09
순환기,병원밖심정지,,범주형,smk9,,,14020,60.31
순환기,병원밖심정지,,범주형,bmi_cat1,,,824,3.54
순환기,병원밖심정지,,범주형,bmi_cat2,,,3680,15.83
순환기,병원밖심정지,,범주형,bmi_cat3,,,2014,8.66
순환기,병원밖심정지,,범주형,bmi_cat4,,,2719,11.7
순환기,병원밖심정지,,범주형,bmi_cat9,,,14009,60.26
순환기,병원밖심정지,,범주형,MI0,,,21924,94.31
순환기,병원밖심정지,,범주형,MI1,,,1322,5.69
순환기,병원밖심정지,,범주형,ventfib0,,,20886,89.85
순환기,병원밖심정지,,범주형,ventfib1,,,2360,10.15
순환기,병원밖심정지,,범주형,cereb0,,,19691,84.71
순환기,병원밖심정지,,범주형,cereb1,,,3555,15.29
순환기,병원밖심정지,,범주형,hfail0,,,18742,80.62
순환기,병원밖심정지,,범주형,hfail1,,,4504,19.38
순환기,병원밖심정지,,범주형,ische0,,,20941,90.08
순환기,병원밖심정지,,범주형,ische1,,,2305,9.92
순환기,병원밖심정지,,범주형,periph0,,,22293,95.9
순환기,병원밖심정지,,범주형,periph1,,,953,4.1
