분과,질환,OddsRatioEst,LowerCL,UpperCL,air,model,p-value
호흡기,만성폐쇄성폐질환,1.002,0.997,1.007,pm25,crude,
호흡기,천식,1.006,1.004,1.008,pm10,adjust,
호흡기,천식,1.006,1.004,1.008,pm10,crude,
호흡기,천식,1.008,1.005,1.012,pm25,adjust,
호흡기,천식,1.008,1.005,1.011,pm25,crude,
호흡기,기관지확장증,1.004,1.002,1.006,pm10,adjust,
호흡기,기관지확장증,1.005,1.003,1.007,pm10,crude,
호흡기,기관지확장증,1.009,1.005,1.012,pm25,adjust,
호흡기,기관지확장증,1.009,1.006,1.013,pm25,crude,
호흡기,비결핵성항상균감염,1.005,0.994,1.016,pm10,adjust,
호흡기,비결핵성항상균감염,1.003,0.993,1.014,pm10,crude,
호흡기,비결핵성항상균감염,0.995,0.977,1.012,pm25,adjust,
호흡기,비결핵성항상균감염,0.996,0.979,1.012,pm25,crude,
호흡기,알레르기 질환,1.002,1.002,1.003,pm10,adjust,
호흡기,알레르기 질환,1.002,1.001,1.002,pm10,crude,
호흡기,알레르기 질환,1.004,1.003,1.006,pm25,adjust,
호흡기,알레르기 질환,0.999,0.998,1,pm25,crude,
호흡기,간질성폐질환,1.005,1.001,1.009,pm10,adjust,
호흡기,간질성폐질환,1.005,1.001,1.009,pm10,crude,
호흡기,간질성폐질환,1.006,0.998,1.013,pm25,adjust,
호흡기,간질성폐질환,1.006,0.998,1.013,pm25,crude,
호흡기,간질성폐질환(CTD-related),1.014,1.006,1.023,pm10,adjust,
호흡기,간질성폐질환(CTD-related),1.014,1.006,1.022,pm10,crude,
호흡기,간질성폐질환(CTD-related),1.021,1.005,1.037,pm25,adjust,
호흡기,간질성폐질환(CTD-related),1.019,1.003,1.034,pm25,crude,
호흡기,간질성폐질환(CTD-unrelated),1.002,0.998,1.007,pm10,adjust,
호흡기,간질성폐질환(CTD-unrelated),1.003,0.998,1.007,pm10,crude,
호흡기,간질성폐질환(CTD-unrelated),1.001,0.993,1.01,pm25,adjust,
호흡기,간질성폐질환(CTD-unrelated),1.002,0.993,1.01,pm25,crude,
정신질환,우울증,1.003,1.002,1.004,pm10,adjust,
정신질환,우울증,1.004,1.003,1.005,pm10,crude,
정신질환,우울증,1.006,1.004,1.007,pm25,adjust,
정신질환,우울증,1.007,1.006,1.009,pm25,crude,
정신질환,공황발작,1.005,1.003,1.007,pm10,adjust,
정신질환,공황발작,1.006,1.004,1.008,pm10,crude,
정신질환,공황발작,1.008,1.004,1.012,pm25,adjust,
정신질환,공황발작,1.01,1.006,1.013,pm25,crude,
정신질환,양극성장애,1.003,1,1.005,pm10,adjust,0.0261
정신질환,양극성장애,1.004,1.001,1.006,pm10,crude,
정신질환,양극성장애,1.007,1.002,1.011,pm25,adjust,
정신질환,양극성장애,1.007,1.003,1.012,pm25,crude,
정신질환,자해,1.012,1.003,1.021,pm10,adjust,
정신질환,자해,1.014,1.005,1.022,pm10,crude,
정신질환,자해,1.025,1.009,1.042,pm25,adjust,
정신질환,자해,1.03,1.013,1.047,pm25,crude,
신경계,혈관성치매,1.001,0.997,1.005,pm25,crude,
신경계,혈관성치매,1,0.996,1.005,pm25,adjust,
신경계,혈관성치매,1.004,1.002,1.006,pm10,crude,
신경계,혈관성치매,1.001,0.999,1.004,pm10,adjust,
피부,건선,1.003,1,1.007,pm10,crude,0.0665
피부,건선,1.004,1,1.007,pm10,adjust,0.0468
피부,건선,1.002,0.995,1.009,pm25,crude,
피부,건선,1.005,0.998,1.012,pm25,adjust,
피부,주사,1.013,0.999,1.027,pm10,crude,
피부,주사,1.013,1,1.028,pm10,adjust,0.0578
피부,주사,1.027,1,1.055,pm25,crude,0.0501
피부,주사,1.029,1.001,1.058,pm25,adjust,
류마티스,쇼그렌증후군,0.987,0.973,1.002,pm10,adjust,
류마티스,쇼그렌증후군,0.988,0.974,1.002,pm10,crude,
류마티스,쇼그렌증후군,0.976,0.949,1.004,pm25,adjust,
류마티스,쇼그렌증후군,0.977,0.95,1.004,pm25,crude,
이비인후,만성부비동염,1.003,1.002,1.004,pm10,adjust,
이비인후,만성부비동염,1.002,1.001,1.003,pm10,crude,
이비인후,만성부비동염,1.006,1.004,1.009,pm25,adjust,
이비인후,만성부비동염,1.002,1,1.004,pm25,crude,0.0888
이비인후,알레르기성비염,1.004,1.003,1.005,pm10,adjust,
이비인후,알레르기성비염,1.003,1.002,1.003,pm10,crude,
이비인후,알레르기성비염,1.006,1.004,1.007,pm25,adjust,
이비인후,알레르기성비염,1.001,0.999,1.002,pm25,crude,
신장,전체신장질환,1.005,1.003,1.006,pm25,crude,
신장,전체신장질환,1.004,1.002,1.005,pm25,adjust,
신장,전체신장질환,1.003,1.002,1.004,pm10,crude,
신장,전체신장질환,1.002,1.002,1.003,pm10,adjust,
신장,전체신장질환(급성신부전),1.011,0.999,1.023,pm25,crude,
신장,전체신장질환(급성신부전),1.012,1,1.024,pm25,adjust,0.0475
신장,전체신장질환(급성신부전),1.008,1.002,1.015,pm10,crude,
신장,전체신장질환(급성신부전),1.009,1.003,1.015,pm10,adjust,
신장,전체신장질환(만성콩팥병),1.006,1.003,1.01,pm25,crude,
신장,전체신장질환(만성콩팥병),1.007,1.003,1.01,pm25,adjust,
신장,전체신장질환(만성콩팥병),1.004,1.002,1.006,pm10,crude,
신장,전체신장질환(만성콩팥병),1.004,1.002,1.006,pm10,adjust,
뇌졸중,뇌졸중(전체),1,0.999,1.002,pm10,adjust,
뇌졸중,뇌졸중(전체),1.001,0.999,1.002,pm10,crude,
뇌졸중,뇌졸중(전체),0.999,0.996,1.002,pm25,crude,
뇌졸중,뇌졸중(전체),0.999,0.996,1.002,pm25,adjust,
뇌졸중,허혈성뇌졸중,1.002,1,1.004,pm10,adjust,0.0733
뇌졸중,허혈성뇌졸중,1.002,1,1.004,pm10,crude,0.0188
뇌졸중,허혈성뇌졸중,1.003,0.999,1.007,pm25,adjust,
뇌졸중,허혈성뇌졸중,1.003,0.999,1.007,pm25,crude,
뇌졸중,출혈성뇌졸중,0.992,0.988,0.995,pm10,crude,
뇌졸중,출혈성뇌졸중,0.993,0.989,0.996,pm10,adjust,
뇌졸중,출혈성뇌졸중,0.978,0.971,0.985,pm25,crude,
뇌졸중,출혈성뇌졸중,0.982,0.975,0.989,pm25,adjust,
안과,망막동맥폐쇄,1.001,0.986,1.017,pm25,crude,
안과,망막동맥폐쇄,0.999,0.984,1.015,pm25,adjust,
안과,망막동맥폐쇄,0.998,0.99,1.007,pm10,crude,
안과,망막동맥폐쇄,0.997,0.989,1.006,pm10,adjust,
안과,망막정맥폐쇄,1.012,1.006,1.017,pm25,crude,
안과,망막정맥폐쇄,1.012,1.006,1.017,pm25,adjust,
안과,망막정맥폐쇄,1.006,1.003,1.009,pm10,crude,
안과,망막정맥폐쇄,1.005,1.002,1.008,pm10,adjust,
안과,비감염성전방포도막염,1.003,1,1.006,pm10,adjust,0.0333
안과,비감염성전방포도막염,1.003,1.001,1.006,pm10,crude,
안과,비감염성전방포도막염,1.006,1.001,1.011,pm25,adjust,
안과,비감염성전방포도막염,1.005,1,1.01,pm25,crude,0.0721
안과,비감염성비전방포도막염,1.006,0.999,1.013,pm10,adjust,
안과,비감염성비전방포도막염,1.005,0.998,1.012,pm10,crude,
안과,비감염성비전방포도막염,1.011,0.999,1.024,pm25,adjust,
안과,비감염성비전방포도막염,1.01,0.998,1.023,pm25,crude,
안과,비감염성공막염,1.004,1.002,1.007,pm10,adjust,
안과,비감염성공막염,1.005,1.002,1.008,pm10,crude,
안과,비감염성공막염,1.008,1.003,1.013,pm25,adjust,
안과,비감염성공막염,1.007,1.002,1.012,pm25,crude,
안과,비감염성공막염,1.005,0.997,1.013,pm10,adjust,
안과,비감염성공막염,1.005,0.998,1.013,pm10,crude,
안과,비감염성공막염,1.01,0.996,1.024,pm25,adjust,
안과,비감염성공막염,1.008,0.994,1.023,pm25,crude,
안과,안구건조증,1.012,1.011,1.014,pm25,crude,
안과,안구건조증,1.015,1.013,1.016,pm25,adjust,
안과,안구건조증,1.007,1.006,1.008,pm10,crude,
안과,안구건조증,1.007,1.006,1.008,pm10,adjust,
안과,알레르기성결막염,1.006,1.004,1.008,pm25,crude,
안과,알레르기성결막염,1.006,1.004,1.008,pm25,adjust,
안과,알레르기성결막염,1.004,1.003,1.005,pm10,crude,
안과,알레르기성결막염,1.003,1.002,1.004,pm10,adjust,
안과,안검염,1.009,1.007,1.01,pm25,crude,
안과,안검염,1.011,1.009,1.012,pm25,adjust,
안과,안검염,1.006,1.005,1.006,pm10,crude,
안과,안검염,1.005,1.005,1.006,pm10,adjust,
안과,백내장,1.011,1.007,1.015,pm25,crude,
안과,백내장,1.011,1.007,1.015,pm25,adjust,
안과,백내장,1.005,1.003,1.007,pm10,crude,
안과,백내장,1.004,1.001,1.006,pm10,adjust,
